,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours,Reason for absence_0.0,Reason for absence_1.0,Reason for absence_2.0,Reason for absence_3.0,Reason for absence_4.0,Month of absence_1.0,Month of absence_2.0,Month of absence_3.0,Month of absence_4.0,Month of absence_5.0,Month of absence_6.0,Month of absence_7.0,Month of absence_8.0,Month of absence_9.0,Month of absence_10.0,Month of absence_11.0,Month of absence_12.0,Day of the week_3,Day of the week_4,Day of the week_5,Day of the week_6,Seasons_2,Seasons_3,Seasons_4,Son_1.0,Son_2.0,Son_3.0,Son_4.0
0,289.0,36.0,13.0,33.0,239554.0,97.0,0.0,0.0,1.0,0.0,1.0,90.0,172.0,30.0,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1,118.0,13.0,18.0,50.0,239554.0,97.0,1.0,0.0,1.0,0.0,0.0,98.0,178.0,31.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2,179.0,51.0,18.0,38.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,279.0,5.0,14.0,39.0,239554.0,97.0,0.0,0.0,1.0,1.0,0.0,68.0,168.0,24.0,4.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
4,289.0,36.0,13.0,33.0,239554.0,97.0,0.0,0.0,1.0,0.0,1.0,90.0,172.0,30.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5,179.0,51.0,18.0,38.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,10.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,222.02824858757063,52.0,3.0,28.0,239554.0,97.0,0.0,0.0,1.0,0.0,4.0,80.0,172.0,27.0,8.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
7,260.0,50.0,11.0,36.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,65.0,168.0,23.0,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,155.0,12.0,14.0,34.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,95.0,196.0,25.0,40.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,235.0,11.0,14.0,37.0,239554.0,97.0,0.0,1.0,0.0,0.0,1.0,88.0,172.0,29.0,8.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10,260.0,50.0,11.0,36.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,65.0,168.0,23.0,8.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,260.0,50.0,11.0,36.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,65.0,168.0,23.0,8.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
12,260.0,50.0,11.0,36.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,65.0,168.0,23.0,8.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
13,179.0,51.0,18.0,38.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,1.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,179.0,51.0,18.0,38.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,112.35955056179775,4.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,246.0,25.0,16.0,41.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,67.0,170.0,149.25373134328356,10.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,222.02824858757063,51.0,18.0,38.0,239554.0,97.0,0.0,0.0,1.0,0.0,0.0,89.0,170.0,31.0,2.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
